#	Date	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/1M Pop	Deaths/1M Pop	Total Tests	Tests/1M Pop	Population	Continent
92	27:11:2021	Nigeria	213,982	+58	2,975 		207,184	+70	3,823	11	1,003	14	3,479,682	16,313	213,313,133	Africa
93	27:11:2021	Zambia	210,138	+20	3,667 		206,371	+13	100	10	10,998	192	2,711,872	141,934	19,106,551	Africa
94	27:11:2021	Algeria	209,980	+163	6,052 	+6	144,029	+127	59,899	21	4,670	135	230,861	5,134	44,963,743	Africa
95	27:11:2021	Australia	206,748	+1,477	1,990 	+5	190,566	+772	14,192	72	7,978	77	47,498,541	1,832,792	25,915,946	Australia/Oceania
96	27:11:2021	Albania	199,137	+405	3,085 	+8	188,593	+548	7,459	23	69,304	1,074	1,388,238	483,139	2,873,374	Europe
97	27:11:2021	Botswana	194,909		2,416 		191,961		532	1	80,596	999	1,859,485	768,912	2,418,332	Africa
98	27:11:2021	Uzbekistan	192,599	+218	1,395 	+3	189,259	+213	1,945	23	5,640	41	1,377,915	40,348	34,151,101	Asia
99	27:11:2021	Kyrgyzstan	183,207	+67	2,740 	+3	177,960	+91	2,507	131	27,445	410	1,825,564	273,473	6,675,479	Asia
100	27:11:2021	Finland	182,284		1,309 		46,000		134,975	44	32,827	236	7,866,903	1,416,737	5,552,834	Europe
101	27:11:2021	Afghanistan	157,190	+19	7,308 	+1	140,451	+9	9,431	1,124	3,914	182	789,492	19,659	40,159,632	Asia
102	27:11:2021	Montenegro	156,608	+340	2,283 	+2	151,467	+412	2,858	60	249,305	3,634	901,219	1,434,655	628,178	Europe
103	27:11:2021	Mozambique	151,515		1,940 		149,471		104	8	4,664	60	973,694	29,974	32,484,425	Africa
104	27:11:2021	Zimbabwe	133,951	+115	4,705 	+1	128,646	+19	600	12	8,832	310	1,584,535	104,472	15,167,085	Africa
105	27:11:2021	Cyprus	131,462		591 		124,370		6,501	37	107,780	485	9,477,138	7,769,904	1,219,724	Asia
106	27:11:2021	Ghana	130,920		1,209 		129,042		669	5	4,093	38	1,933,408	60,449	31,984,067	Africa
107	27:11:2021	Namibia	129,160	+9	3,573 	+1	125,472	+7	115	2	49,571	1,371	785,454	301,452	2,605,566	Africa
108	27:11:2021	Uganda	127,423	+48	3,252 	+1	97,429	+12	26,742	127	2,668	68	1,943,368	40,684	47,767,518	Africa
109	27:11:2021	Cambodia	120,064	+26	2,927 	+5	116,446	+29	691		7,044	172	2,696,502	158,206	17,044,266	Asia
110	27:11:2021	El Salvador	119,691	+114	3,769 	+2	101,092		14,830	316	18,323	577	1,408,214	215,579	6,532,256	North America
